Item;Descrição;2026-05;2026-06;2026-07;2026-08;2026-09;Estoque Padrão;Estoque Produção;Ponto;OC;Neces;Dispon;Saldo Virtual;Prazo Fornecedor;Valor Unitário;Valor Estoque;Média Diária;Lote Mínimo;Lote Econom;Observação;Última Data Entrada;Última Data Saída;Família;Baixa
3ACL70C9YUTRG1;KIT COPLANAR L70 FLEX MONTADO PARA 2 PORTAS COM 70KG CADA PARA LARGURA INTERNA DO MOVEL DE 2931MM ATE 3400MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 3436MM (83020250033) - PORTA MADEIRA LARGURA 1711.5MM ALTURA 2307MM;0,0;0,00;0,00;0,00;0,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;0,00;0,00;0,00;1,00;1,00;;01/01/1900;01/01/1900;VSN;S
3ACL70GZ6LQWJ1;KIT COPLANAR L70 FLEX MONTADO PARA 2 PORTAS COM 70KG CADA PARA LARGURA INTERNA DO MOVEL DE 2931MM ATE 3800MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 3574MM (83020250033) - PORTA MADEIRA LARGURA 1781MM ALTURA 2557MM;0,0;1,00;0,00;0,00;0,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;15.430,57;0,00;0,01;1,00;1,00;;08/06/2026;24/06/2026;VSN;S
3ACL70LW736D11;KIT COPLANAR L70 FLEX MONTADO PARA 2 PORTAS COM 70KG CADA PARA LARGURA INTERNA DO MOVEL DE 2531MM ATE 2930MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 2767MM (83020250032) - PORTA MADEIRA LARGURA 1377MM ALTURA 2307MM;0,0;0,00;0,00;0,00;0,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;0,00;0,00;0,00;1,00;1,00;;01/01/1900;01/01/1900;VSN;S
3ACM50A9Q1JTA1;KIT SLIDER M50 FLEX MONTADO PARA LARGURA INTERNA DO MOVEL DE 1531MM ATE 1930MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 1567MM (83020200080) - PORTA MADEIRA LARGURA 777MM ALTURA 10MM;0,0;0,00;0,00;0,00;0,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;0,00;0,00;0,00;1,00;1,00;;01/01/1900;01/01/1900;VSN;S
3ACM50C9YUTRG1;KIT SLIDER M50 FLEX MONTADO PARA LARGURA INTERNA DO MOVEL DE 1531MM ATE 1930MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 1567MM (83020200080) - PORTA MADEIRA LARGURA 777MM ALTURA 2307MM;0,0;0,00;0,00;0,00;0,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;0,00;0,00;0,00;1,00;1,00;;01/01/1900;01/01/1900;VSN;S
3ACM50DZDTWZH1;KIT SLIDER M50 FLEX MONTADO PARA LARGURA INTERNA DO MOVEL DE 1531MM ATE 1930MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 1567MM (83020200080) - PORTA MADEIRA LARGURA 777MM ALTURA 2307MM;0,0;0,00;0,00;0,00;0,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;0,00;0,00;0,00;1,00;1,00;;01/01/1900;01/01/1900;VSN;S
3ACM50JO0DYFX1;KIT SLIDER M50 FLEX MONTADO PARA LARGURA INTERNA DO MOVEL DE 1531MM ATE 1930MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 1948MM (83020200080) - PORTA MADEIRA LARGURA 967MM ALTURA 2467MM;0,0;0,00;0,00;0,00;0,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;0,00;0,00;0,00;1,00;1,00;;01/01/1900;01/01/1900;VSN;S
3ACM50JO0DYFX2;KIT SLIDER M50 FLEX MONTADO PARA LARGURA INTERNA DO MOVEL DE 1531MM ATE 1930MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 1948MM (83020200080) - PORTA MADEIRA LARGURA 967MM ALTURA 2467MM;0,0;0,00;0,00;0,00;0,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;0,00;0,00;0,00;1,00;1,00;;01/01/1900;01/01/1900;VSN;S
3ACM50O0RJMWD1;KIT SLIDER M50 FLEX MONTADO PARA LARGURA INTERNA DO MOVEL DE 1531MM ATE 1930MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 1948MM (83020200080) - PORTA MADEIRA LARGURA 967MM ALTURA 2467MM;0,0;0,00;0,00;0,00;1,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;11.572,72;0,00;0,00;1,00;1,00;;22/07/2026;02/09/2026;VSN;S
3ACM50O0RJMWD2;KIT SLIDER M50 FLEX MONTADO PARA LARGURA INTERNA DO MOVEL DE 1531MM ATE 1930MM COM TRILHO SOB MEDIDA - MEDIDA TRILHO 1948MM (83020200080) - PORTA MADEIRA LARGURA 967MM ALTURA 2467MM;0,0;0,00;0,00;0,00;1,00;0,00;0,00;(0,00);0,00;0,00;0,00;0,00(0,00);35;11.572,70;0,00;0,00;1,00;1,00;;22/07/2026;02/09/2026;VSN;S
