Item;Data OC;Decis Compras;texto OC;texto OC1;texto OC2;texto OC3;texto OC4
3CH018BP0064;26/10/2026;183,15;;;;;
3CH018BP0070;26/10/2026;183,15;;;;;
3CH018BP0088;26/10/2026;728,64;;;;;
3CH06BP0060;26/10/2026;151,8;;;;;
3CAT0006975;09/10/2026;702,0;;;;;
3CAT00ABRAS;05/10/2026;2480,0;;;;;
3CONVGL0583;09/10/2026;260,0;;;;;
3FNDACR7690;15/10/2026;640,0;;;;;
3LACA0DUNA;15/10/2026;20,0;;;;;
3LACMASTEEL;15/10/2026;20,0;;;;;
3MAS0076402;15/10/2026;374,4;;;;;
3MASYL01424;15/10/2026;12,0;;;;;
3OLEORUBFAVJ;05/10/2026;27,3;;;;;
3OLEORUBNAT;05/10/2026;38,5;;;;;
3OLEORUBNEV;05/10/2026;1,3;;;;;
3TING00T900;15/10/2026;100,0;;;;;
3TEC0D26020;19/10/2026;50,0;;;;;
3MARCORACBI;14/10/2026;1,0;;;;;
3MARIMPDS35;14/10/2026;1,0;;;;;
3MARIMPDS42AN;14/10/2026;2,0;;;;;
3MARIMPE295;14/10/2026;2,0;;;;;
3MARIMPE295AN;14/10/2026;1,0;;;;;
3MARIMPECBIAN;14/10/2026;1,0;;;;;
3MARMACDS35;14/10/2026;1,0;;;;;
3MARMACH370AN;14/10/2026;1,0;;;;;
3MARMACH570AN;14/10/2026;1,0;;;;;
3MARMARDS42AN;14/10/2026;2,0;;;;;
3MARMARQ295AN;14/10/2026;2,0;;;;;
3MARORIOCBI;14/10/2026;1,0;;;;;
3MARORIOMK10;14/10/2026;1,0;;;;;
3MARORIOMK10AN;14/10/2026;1,0;;;;;
3MARTRADS35AN;14/10/2026;1,0;;;;;
3MMRDCARR11AN;14/10/2026;1,0;;;;;
3MMSYIMPE15AN;14/10/2026;1,0;;;;;
3MTPARCARR11AN;14/10/2026;1,0;;;;;
3MTPARCORA80AN;14/10/2026;1,0;;;;;
3MTPARGUAT80;14/10/2026;2,0;;;;;
3MTPARIMPE80AN;14/10/2026;1,0;;;;;
3MTPCVCORA17;14/10/2026;1,0;;;;;
3MTPTICORAR6;14/10/2026;1,0;;;;;
3MTPTIGUAT26AN;14/10/2026;1,0;;;;;
3MTPTIMACH26;14/10/2026;1,0;;;;;
3MTPTITRAVR4AN;14/10/2026;1,0;;;;;
3MTPTTCARR11;14/10/2026;1,0;;;;;
3MTPTTORIO60;14/10/2026;1,0;;;;;
3MTPVOTRAV16AN;14/10/2026;1,0;;;;;
3PEDNATCINZ;14/10/2026;1,0;;;;;
3PEDRE14OREO;14/10/2026;1,0;;;;;
3CIEU1200DCHFO;15/10/2026;1,0;;;;;
3CIEU1200DCHPR;15/10/2026;1,0;;;;;
3DTLIN700514PR;05/10/2026;1,0;;;;;
3KMFOCUSCHTRFO;15/10/2026;1,0;;;;;
3KTFEMATOUSIPR;15/10/2026;1,0;;;;;
3KTFEMATOUWCPR;15/10/2026;1,0;;;;;
3PERALUMIKENDO;15/10/2026;16,0;;;;;
3PERTHIN01ALU;15/10/2026;27,0;;;;;
3PRGAVSQUABEGE;15/10/2026;20,0;;;;;
3PUXCUPDO;09/11/2026;5,0;;;;;
3RPE150INPEREZ;15/10/2026;4,0;;;;;
3TAPAQN58CZ;05/10/2026;14,0;;;;;
3VARSOLDA01;09/10/2026;10,0;;;;;
3BUC0000006;01/10/2026;10000,0;;;;;
3CAV0020830;09/10/2026;30,0;;;;;
3KITMECRECL00;26/10/2026;3,0;;;;;
3PER0003907;19/10/2026;126,0;;;;;
3PER0PUX2069;15/10/2026;80,0;;;;;
3TEC0A10503;15/10/2026;3,0;;;;;
3TEC0A10509;15/10/2026;3,0;;;;;
3TEC0A10529;15/10/2026;3,0;;;;;
3TEC0A10540;15/10/2026;17,0;;;;;
3TEC0A10551;15/10/2026;1,0;;;;;
3TEC0A10553;15/10/2026;3,0;;;;;
3TEC0A10568;15/10/2026;1,0;;;;;
3TEC0A10570;15/10/2026;3,0;;;;;
3TEC0A10574;15/10/2026;4,0;;;;;
3TEC0A10576;15/10/2026;4,0;;;;;
3TEC0A10578;15/10/2026;3,0;;;;;
3TEC0A10580;15/10/2026;1,0;;;;;
3TEC0A10581;15/10/2026;2,0;;;;;
3TEC0A10597;15/10/2026;5,0;;;;;
3TEC0A11159;15/10/2026;5,0;;;;;
3TEC0A22031;16/10/2026;31,0;;;;;
3TEC0A22065;15/10/2026;4,0;;;;;
3TEC0A22163;15/10/2026;3,0;;;;;
3TEC0A26016;19/10/2026;2,0;;;;;
3TEC0A26024;19/10/2026;8,0;;;;;
3TEC0A26025;19/10/2026;36,0;;;;;
3TEC0A26026;19/10/2026;21,0;;;;;
3TEC0A26069;19/10/2026;2,0;;;;;
3TEC0B10526;15/10/2026;1,0;;;;;
3TEC0B10768;15/10/2026;1,0;;;;;
3TEC0B11559;16/10/2026;25,0;;;;;
3TEC0B22186;16/10/2026;3,0;;;;;
3TEC0B22237;15/10/2026;2,0;;;;;
3TEC0B26009;19/10/2026;11,0;;;;;
3TEC0B26030;19/10/2026;15,0;;;;;
3TEC0B26056;19/10/2026;27,0;;;;;
3TEC0B26079;19/10/2026;3,0;;;;;
3TEC0B26084;19/10/2026;2,0;;;;;
3TEC0B26091;19/10/2026;8,0;;;;;
3TEC0B26099;19/10/2026;17,0;;;;;
3TEC0B26135;19/10/2026;7,0;;;;;
3TEC0C10050;15/10/2026;49,0;;;;;
3TEC0C10413;15/10/2026;5,0;;;;;
3TEC0C10765;15/10/2026;3,0;;;;;
3TEC0C11328;15/10/2026;1,0;;;;;
3TEC0C22037;15/10/2026;5,0;;;;;
3TEC0C22106;16/10/2026;9,0;;;;;
3TEC0C26019;19/10/2026;52,0;;;;;
3TEC0C26036;19/10/2026;5,0;;;;;
3TEC0C26075;19/10/2026;4,0;;;;;
3TEC0C26090;19/10/2026;30,0;;;;;
3TEC0C26104;19/10/2026;30,0;;;;;
3TEC0C26105;19/10/2026;48,0;;;;;
3TEC0C26107;19/10/2026;20,0;;;;;
3TEC0D10376;15/10/2026;9,0;;;;;
3TEC0D10378;15/10/2026;14,0;;;;;
3TEC0D10381;15/10/2026;1,0;;;;;
3TEC0D10423;15/10/2026;2,0;;;;;
3TEC0D10428;15/10/2026;10,0;;;;;
3TEC0D10443;15/10/2026;15,0;;;;;
3TEC0D26035;19/10/2026;21,0;;;;;
3TEC0D26044;19/10/2026;18,0;;;;;
3TEC0D26063;19/10/2026;15,0;;;;;
3TEC0D26083;19/10/2026;3,0;;;;;
3TEC0D26098;19/10/2026;37,0;;;;;
3TEC0D26123;19/10/2026;15,0;;;;;
3TEC0D26153;19/10/2026;6,0;;;;;
3TEC0E22170;15/10/2026;11,0;;;;;
3TEC0E26006;19/10/2026;26,0;;;;;
3TEC0E26059;19/10/2026;5,0;;;;;
3TEC0F11290;15/10/2026;7,0;;;;;
3TEC0F11295;15/10/2026;3,0;;;;;
3TEC0F11309;15/10/2026;3,0;;;;;
3TEC0F11310;15/10/2026;4,0;;;;;
3TEC0F11320;15/10/2026;7,0;;;;;
3TEC0F11330;15/10/2026;3,0;;;;;
3TEC0F22176;15/10/2026;11,0;;;;;
3TEC0H26064;19/10/2026;27,0;;;;;
3TEC0PHEASANT;15/10/2026;3,0;;;;;
3FIT35PVCMINT;26/10/2026;600,0;;;;;
3MAD0000003;06/10/2026;1,0;;;;;
3MADCARV553;09/10/2026;2,0;;;;;
3CHVIDRCANELA4;15/10/2026;18,7;;;;;
3ESPBRONRFT;15/10/2026;115,56;;;;;
3ESPINCORFT;14/10/2026;46,22;;;;;
3BORMC50NTFR;20/10/2026;6,0;;;;;
3CROPORCETRI;14/10/2026;6,0;;;;;
3FIT22000FL;26/10/2026;2000,0;;;;;
3TAPFUR0088;26/10/2026;14,0;;;;;
3TAPFUR0094;26/10/2026;28,0;;;;;
3TRLAN600X400;03/11/2026;15,0;;;;;
3PAP0008829;14/10/2026;3750,0;;;;;
3PEL0CINZES;13/10/2026;200,0;;;;;
3GRP0005007;05/10/2026;129,36;;;;;
3PIN0000016;13/10/2026;10,0;;;;;
3PIN0000415;05/10/2026;20,0;;;;;
3PIN00025MM;13/10/2026;135,0;;;;;
3PRF0000020;15/10/2026;3000,0;;;;;
3PRF0000040;19/10/2026;5,0;;;;;
3PRF0000041;15/10/2026;40,0;;;;;
3PRF0000121;13/10/2026;100,0;;;;;
3PRFFIX45X50;15/10/2026;18,0;;;;;
3REBROSCA06;09/10/2026;4000,0;;;;;
3COL000TB50;19/10/2026;75,0;;;;;
3DBR00RET107;19/10/2026;50,0;;;;;
3DBRTOPRETA;26/10/2026;250,0;;;;;
3TEC0000001;06/10/2026;651,0;;;;;
3CH018BP0096;26/10/2026;5,06;;;;;
3CH025BP0095;26/10/2026;15,18;;;;;
3CH06BP0068;26/10/2026;5,06;;;;;
3CH06BP0095;26/10/2026;20,24;;;;;
