Item;Data OC;Decis Compras;texto OC
3MARCARAB40AN;20/05/2026;1,0;ped - 187982 | it - 1MEAB590000098
3MARCARPL66AN;20/05/2026;1,0;ped - 187982 | it - 1MEPL660003026
3MARGUADS42;20/05/2026;1,0;ped - 180277 | it - 1TPDSMM0000105
3MARMACHBT19;20/05/2026;1,0;ped - 187982 | it - 1BCBT190000829
3MARMACHCBI;20/05/2026;1,0;ped - 186431 | it - 1TPCBMM0000090
3MARTRAV470AN;20/05/2026;1,0;ped - 179502 | it - 1TBEXMM0000156
3MARTRAVMK10AN;20/05/2026;1,0;ped - 0 | it - 1TPMKMM0000039
3MTPARCARR80AN;20/05/2026;1,0;ped - 0 | it - 1TPBARM0000031
3MTPARIMPE80AN;20/05/2026;1,0;ped - 187755 | it - 1TPBARM0000008
3MTPPFIMPE24AN;20/05/2026;2,0;ped - 0 | it - 1TPPFMM0000018
3MTPTIORIOR6AN;20/05/2026;1,0;ped - 187141 | it - 1TPBATI0000062
3MTPVOCORA16AN;20/05/2026;1,0;ped - 186284 | it - 1TPBAVO0000026
3LUAPSFS690Q;21/05/2026;2,0;ped - 187885 | it - 1KITFER163106X
3LUSPOTSUNEM3A;09/06/2026;3,0;ped - 180358 | it - 1COORPO073073M
3LUTHIN2084Q;21/05/2026;1,0;ped - 182094 | it - 1AMSERV380374N
3LUTHIN600Q;21/05/2026;1,0;ped - 182094 | it - 1AMBANO380374O
3PRFM6X30ALUNO;21/05/2026;48,0;ped - 178795 | it - 1ESPAUT642819A
3PLL196;08/06/2026;4,0;ped - 185949 | it - 2KITOZIP8SA4V9
3PTESM0Y05GQ10;08/06/2026;1,0;ped - 179894 | it - 1KITFER179894A
3PTLOEVE9ZF51;08/06/2026;1,0;ped - 182094 | it - 1QUCASA380374T
3PTSO62XFDRK1;08/06/2026;1,0;ped - 182094 | it - 1AMBANO380374O
3PTSO62XFDRK2;08/06/2026;1,0;ped - 182094 | it - 1AMBANO380374O
