Item;Data OC;Decis Compras;texto OC;texto OC1;texto OC2;texto OC3;texto OC4
3MONONEVD11;13/10/2026;1,0;ped - 203357 | it - 1TPRDMO0011NCP;;;;
3ARCLPIA165CI;14/10/2026;5,0;ped - 201727 | it - 1AMCOZI001576C;;;;
3ARPVASL310CI;14/10/2026;10,0;ped - 203736 | it - 1AMSERV792832E;;;;
3CIEU1200DCHFO;14/10/2026;1,0;ped - 185169 | it - 1SLESTA632171E;;;;
3CIEU1200DCHFO;14/10/2026;1,0;ped - 203290 | it - 1AMCOZI882879I;;;;
3DTLIN600514GF;05/10/2026;2,0;ped - 203736 | it - 1AMCOZI792832A;;;;
3DTLIN700514PR;05/10/2026;1,0;ped - 185169 | it - 1AMCOZI632171D;;;;
3KMFOCUSCHTRFO;14/10/2026;1,0;ped - 172718 | it - 1QUHOSP130792K;;;;
3PUXRADIO16DO;09/11/2026;6,0;ped - 203736 | it - 1QUSOLT792832I;;;;
3PUXRADIO16DO;09/11/2026;5,0;ped - 203736 | it - 1AMBANO792832K;;;;
3PUXRADIO16DO;09/11/2026;5,0;ped - 203736 | it - 1AMBANO792832L;;;;
3PUXRADIO16DO;09/11/2026;5,0;ped - 203736 | it - 1AMBANO792832M;;;;
3PUXRADIO16DO;09/11/2026;6,0;ped - 203736 | it - 1QUSOLT792832H;;;;
3MARGUAAB40;13/10/2026;1,0;ped - 204154 | it - 1MEAB590000103;;;;
3MARMACDS35AN;13/10/2026;1,0;ped - 204569 | it - 1TPDSMM0000137;;;;
3MARORIO295;13/10/2026;1,0;ped - 204465 | it - 1TBBLMM0000103;;;;
3MMSYORIO11;13/10/2026;1,0;ped - 203599 | it - 1TPSAMM0000116;;;;
3MTPECORIO26AN;13/10/2026;1,0;ped - 202202 | it - 1TPECMM0000026;;;;
