Item;Data OC;Decis Compras;texto OC
3MESAINOX000L;25/05/2026;1,0;ped - 187774 | it - 1MESFNAINOCUR
3MARGUADS42;19/05/2026;1,0;ped - 180277 | it - 1TPDSMM0000105
3MARGUAPL71;19/05/2026;1,0;ped - 187690 | it - 1MEPL710000036
3MARMACHCBI;19/05/2026;1,0;ped - 186431 | it - 1TPCBMM0000090
3MARTRAV470AN;19/05/2026;1,0;ped - 179502 | it - 1TBEXMM0000156
3MMSP1MARQ34AN;19/05/2026;1,0;ped - 187198 | it - 1TPSPMA187198
3MTPARIMPE80AN;19/05/2026;1,0;ped - 187755 | it - 1TPBARM0000008
3MTPTIORIOR6AN;19/05/2026;1,0;ped - 187141 | it - 1TPBATI0000062
3MTPVOCORA16AN;19/05/2026;1,0;ped - 186284 | it - 1TPBAVO0000026
3AVBRHFTOP3200;29/05/2026;1,0;ped - 163690 | it - 1AMCOZI958746AI
3CIEU600CHCHPR;20/05/2026;1,0;ped - 185949 | it - 5KITAUTKD1UJ3C
3DTLIN1000514PR;11/05/2026;1,0;ped - 174450 | it - 1AMCOZI853873C
3KTFEMATOUCIPR;20/05/2026;1,0;ped - 185949 | it - 5KITAUTKD1UJ3C
3LBOXFIXCAPGIC;19/05/2026;3,0;ped - 163690 | it - 1AMCOZI958746AI
3LBOXGVFRO200C;29/05/2026;3,0;ped - 163690 | it - 1AMCOZI958746AI
3LUTHIN2631Q;20/05/2026;1,0;ped - 148703 | it - 1QUOFFI950634
3LUTHIN635Q;20/05/2026;11,0;ped - 148703 | it - 1QUOFFI950634
3LUTHIN636Q;20/05/2026;2,0;ped - 148703 | it - 1QUOFFI950634
3PONCVPE416CRA;14/05/2026;1,0;ped - 180358 | it - 1AMCOZI073073A
3PONCVPE416CRA;14/05/2026;2,0;ped - 163690 | it - 1AMCOZI958746AI
3PONCVPE416CRA;14/05/2026;2,0;ped - 186837 | it - 1SLJANT697935
3PONCVPE416CRA;14/05/2026;3,0;ped - 183499 | it - 1QUHOSP890221E
3PONCVPE416CRA;14/05/2026;2,0;ped - 183499 | it - 1QUCASA890221L
3PRFM6X30ALUNO;20/05/2026;48,0;ped - 178795 | it - 1ESPAUT642819A
3DTLIN800514GF;11/05/2026;2,0;ped - 180358 | it - 1AMCOZI073073A
3LUTHIN1295Q;20/05/2026;2,0;ped - 148703 | it - 1QUOFFI950634
3LUTHIN2485Q;20/05/2026;4,0;ped - 148703 | it - 1QUOFFI950634
3PCU1929000LUL;03/06/2026;2,0;ped - 170448 | it - 1AMSERV118178C
3PLL196;03/06/2026;4,0;ped - 185949 | it - 2KITOZIP8SA4V9
